Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;0;-1;0;0;0;0;essen; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;0;-1;0;0;0;0;essen; ;0;1;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;0;-1;0;0;0;0;essen; ;0;2;0;0;0;0;
01:29;redeem essen;2;0;0;0;0;1; ;0;-1;0;0;0;0;essen;redeem essen;0;3;0;0;0;0;
01:30;01:30;2;0;0;0;0;1; ;-1;0;0;0;0;0;arbeiten; ;0;0;0;0;0;0;
02:00;02:00;2;0;0;0.00135222;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.117647;0;0;0;0;0;
02:30;02:30;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.235294;0;0;0;0;0;
03:00;03:00;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.352941;0;0;0;0;0;
03:30;03:30;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.470588;0;0;0;0;0;
03:59;03:59;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.588235;0;0;0;0;0;
04:29;04:29;2;0.749873;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.705882;0;0;0;0;0;
04:59;04:59;2;1.49986;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.823529;0;0;0;0;0;
05:29;05:29;2;2.2498;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.941176;0;0;0;0;0;
05:59;05:59;2;2.99975;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.05882;0;0;0;0;0;
05:59;interrupt arbeiten;2;3;0;2;0;1; ;0;-1;0;0;0;0;arbeiten;interrupt arbeiten;1.17647;0;0;0;0;0;
06:29;06:29;2;3;0;2;0;1; ;0;-1;0;0;0;0;essen; ;1.29412;0;0;0;0;0;
06:59;06:59;2;3;0;2;0;1; ;0;-1;0;0;0;0;essen; ;1.29412;1.5;0;0;0;0;
07:29;redeem essen;2;0;0;2;0;1; ;0;-1;0;0;0;0;essen;redeem essen;1.29412;3;0;0;0;0;
07:29;07:29;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.29412;0;0;0;0;0;
07:59;07:59;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.41176;0;0;0;0;0;
08:29;08:29;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.52941;0;0;0;0;0;
08:59;08:59;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.64706;0;0;0;0;0;
09:29;09:29;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.76471;0;0;0;0;0;
09:59;09:59;2;0;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.88235;0;0;0;0;0;
10:11;redeem arbeiten;0;0.29356;0;2;0;1; ;-1;0;0;0;0;0;arbeiten;redeem arbeiten;2;0;0;0;0;0;
10:29;10:29;0;0.747736;0;2;0;1; ;0;0;0;-1;0;0;reden; ;0;0;0;0;0;0;
10:59;10:59;0;1.49771;0;2;0;1; ;0;0;0;-1;0;0;reden; ;0;0;0;1;0;0;
11:13;redeem reden;0;1.84477;0;0;0;1; ;0;0;0;-1;0;0;reden;redeem reden;0;0;0;2;0;0;
11:29;11:29;0;2.24766;0;0;0;1; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0;
11:59;11:59;0;2.99761;0;0;0;1; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0.25;
11:59;interrupt spielen;0;3;0;0;0;1; ;0;-1;0;0;0;0;spielen;interrupt spielen;0;0;0;0;0;0.5;
12:29;12:29;0;3;0;0;0;1; ;0;-1;0;0;0;0;essen; ;0;0;0;0;0;0.75;
