Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;3;2;3;3;4;2.81;essen; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;3;2;3;3;4;2.81;essen; ;0;1;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;3;2.085;3;3;4;2.827;essen; ;0;2;0;0;0;0;
01:29;redeem essen;2;0;0;0;0;1; ;3;2;3;3;4;3.81;essen;redeem essen;0;3;0;0;0;0;
01:30;01:30;2;0;0;0;0;1; ;3;3;2;2;4;2.81;reden; ;0;0;0;0;0;0;
02:00;02:00;2;0;0;0.00135222;0;1; ;2.999;3;2.45;2;3.999;2.81;reden; ;0;0;0;0.666667;0;0;
02:30;02:30;2;0;0;2;0;1; ;3;3;3;2;4;2.81;reden; ;0;0;0;1.33333;0;0;
02:37;redeem reden;2;0;0;0;0;1; ;3;3;3;2;4;2.81;reden;redeem reden;0;0;0;2;0;0;
03:00;03:00;2;0;0;0;0;1; ;2;2;2;2.002;3;1.81;spielen; ;0;0;0;0;0;0;
03:30;03:30;2;0;0;0;0;1; ;2;2;2;2.087;3;1.872;spielen; ;0;0;0;0;0;0.5;
03:42;redeem spielen;2;0;0;0;0;0.9; ;2;2;2;2.161;3;1.937;spielen;redeem spielen;0;0;0;0;0;1;
03:49;interrupt spielen;2;0;0;0;0;0.9; ;1.81;1.81;1.816;2.02;2.81;1.811;spielen;interrupt spielen;0;0;0;0;0;0;
03:59;03:59;2;0;0;0;0;0.9; ;1.81;1.81;1.837;2.077;2.81;1.918;arbeiten; ;0;0;0;0;0;0.333333;
04:29;04:29;2;0.749873;0;0;0;0.9; ;1.81;1.81;1.983;2.398;2.81;2.245;arbeiten; ;0.125;0;0;0;0;0.333333;
04:59;04:59;2;1.49986;0;0;0;0.9; ;1.81;1.81;2.254;2.81;2.81;2.639;arbeiten; ;0.25;0;0;0;0;0.333333;
05:29;05:29;2;2.2498;0;0;0;0.9; ;1.81;1.81;2.65;2.81;2.81;2.639;arbeiten; ;0.375;0;0;0;0;0.333333;
05:59;05:59;2;2.99975;0;0;0;0.9; ;1.81;1.81;2.81;2.81;2.81;2.639;arbeiten; ;0.5;0;0;0;0;0.333333;
06:29;06:29;2;3;0;0;0;0.9; ;1.81;1.81;2.81;2.81;2.81;2.639;arbeiten; ;0.625;0;0;0;0;0.333333;
06:59;06:59;2;3;0;0;0;0.9; ;1.81;1.81;2.81;2.81;2.81;2.639;arbeiten; ;0.75;0;0;0;0;0.333333;
07:03;interrupt arbeiten;2;3;0;0;0;0.9; ;1.811;1.81;2.81;2.81;2.81;2.639;arbeiten;interrupt arbeiten;0.875;0;0;0;0;0.333333;
07:29;07:29;2;3;0;0;0;0.9; ;1.889;1.81;2.81;2.81;2.81;2.639;essen; ;1;0;0;0;0;0.333333;
07:59;07:59;2;3;0;0;0;0.9; ;2.092;1.81;2.81;2.81;2.81;2.639;essen; ;1;1;0;0;0;0.333333;
08:29;08:29;2;3;0;0;0;0.9; ;2.454;1.81;2.81;2.81;2.81;2.639;essen; ;1;2;0;0;0;0.333333;
08:33;redeem essen;2;0;0;0;0;0.9; ;2.498;1.81;2.81;2.81;2.81;2.639;essen;redeem essen;1;3;0;0;0;0.333333;
08:59;08:59;2;0;0;0;0;0.9; ;2.81;1.81;1.81;1.812;2.81;1.639;spielen; ;1;0;0;0;0;0.333333;
09:29;09:29;2;0;0;0;0;0.9; ;2.81;1.81;1.81;1.896;2.81;1.702;spielen; ;1;0;0;0;0;0.666667;
09:31;redeem spielen;2;0;0;0;0;0.8; ;2.81;1.81;1.81;1.904;2.81;1.708;spielen;redeem spielen;1;0;0;0;0;1;
09:46;interrupt spielen;2;0;0;0;0;0.8; ;2.639;1.639;1.643;1.827;2.639;1.64;spielen;interrupt spielen;1;0;0;0;0;0;
