Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;4;3;6;6;6;5.81;essen; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;4;3;6;6;6;5.81;essen; ;0;1;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;4;3;6;6;6;5.81;essen; ;0;2;0;0;0;0;
01:29;redeem essen;2;0;0;0;0;1; ;4;3;6;6;6;5.81;essen;redeem essen;0;3;0;0;0;0;
01:30;01:30;2;0;0;0;0;1; ;1;3;3;3;3;2.81;arbeiten; ;0;0;0;0;0;0;
02:00;02:00;2;0;0;0.00135222;0;1; ;1;3;3;3;3;2.81;arbeiten; ;0.125;0;0;0;0;0;
02:30;02:30;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;0.25;0;0;0;0;0;
03:00;03:00;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;0.375;0;0;0;0;0;
03:30;03:30;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;0.5;0;0;0;0;0;
03:59;03:59;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;0.625;0;0;0;0;0;
04:29;04:29;2;0.749873;0;2;0;1; ;3.187;5;5.187;3.187;5.187;4.997;arbeiten; ;0.75;0;0;0;0;0;
04:59;04:59;2;1.49986;0;2;0;1; ;3.749;5;5.749;3.749;5.749;5.559;arbeiten; ;0.875;0;0;0;0;0;
05:29;05:29;2;2.2498;0;2;0;1; ;4.687;5;6.687;4.687;6.687;6.497;arbeiten; ;1;0;0;0;0;0;
05:37;interrupt arbeiten;2;2.45021;0;2;0;1; ;5.001;5;7.001;5.001;7.001;6.811;arbeiten;interrupt arbeiten;1.125;0;0;0;0;0;
05:59;05:59;2;2.99975;0;2;0;1; ;5.999;5;7.999;5.999;7.999;7.809;essen; ;1.25;0;0;0;0;0;
06:29;06:29;2;3;0;2;0;1; ;6;5;8;6;8;7.81;essen; ;1.25;1;0;0;0;0;
06:59;06:59;2;3;0;2;0;1; ;6;5;8;6;8;7.81;essen; ;1.25;2;0;0;0;0;
07:07;redeem essen;2;0;0;2;0;1; ;6;5;8;6;8;7.81;essen;redeem essen;1.25;3;0;0;0;0;
07:29;07:29;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.25;0;0;0;0;0;
07:59;07:59;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.375;0;0;0;0;0;
08:29;08:29;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.5;0;0;0;0;0;
08:59;08:59;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.625;0;0;0;0;0;
09:29;09:29;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.75;0;0;0;0;0;
09:59;09:59;2;0;0;2;0;1; ;3;5;5;3;5;4.81;arbeiten; ;1.875;0;0;0;0;0;
10:11;redeem arbeiten;0;0.29356;0;2;0;1; ;3.028;5;5.028;3.028;5.028;4.838;arbeiten;redeem arbeiten;2;0;0;0;0;0;
10:29;10:29;0;0.747736;0;2;0;1; ;3.186;3;3.186;1.186;3.186;2.996;reden; ;0;0;0;0;0;0;
10:59;10:59;0;1.49771;0;2;0;1; ;3.747;3;3.747;1.747;3.747;3.557;reden; ;0;0;0;1;0;0;
11:13;redeem reden;0;1.84477;0;0;0;1; ;4.134;3;4.134;2.134;4.134;3.944;reden;redeem reden;0;0;0;2;0;0;
11:29;11:29;0;2.24766;0;0;0;1; ;2.683;1;2.683;2.683;2.683;2.493;essen; ;0;0;0;0;0;0;
11:59;11:59;0;2.99761;0;0;0;1; ;3.995;1;3.995;3.995;3.995;3.805;essen; ;0;1;0;0;0;0;
12:29;12:29;0;3;0;0;0;1; ;4;1;4;4;4;3.81;essen; ;0;2;0;0;0;0;
