Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;6;3;6;6;8;5.81;essen; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;6;3;6;6;8;5.81;essen; ;0;1;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;6;3.171;6;6;8;5.844;essen; ;0;2;0;0;0;0;
01:29;redeem essen;2;0;0;0;0;1; ;6;3;6;6;8;7.81;essen;redeem essen;0;3;0;0;0;0;
01:30;01:30;2;0;0;0;0;1; ;6;5;3;3;8;4.81;reden; ;0;0;0;0;0;0;
02:00;02:00;2;0;0;0.00135222;0;1; ;5.999;5;3.901;3;7.999;4.809;reden; ;0;0;0;0.666667;0;0;
02:30;02:30;2;0;0;2;0;1; ;6;5;5;3;8;4.81;reden; ;0;0;0;1.33333;0;0;
02:37;redeem reden;2;0;0;0;0;1; ;6;5;5;3;8;4.81;reden;redeem reden;0;0;0;2;0;0;
03:00;03:00;2;0;0;0;0;1; ;4;3;3;3.006;6;2.81;spielen; ;0;0;0;0;0;0;
03:30;03:30;2;0;0;0;0;1; ;4;3;3;3.261;6;2.997;spielen; ;0;0;0;0;0;0.25;
03:30;interrupt spielen;2;0;0;0;0;1; ;4;3;3;3.265;6;3.001;spielen;interrupt spielen;0;0;0;0;0;0.5;
03:59;03:59;2;0;0;0;0;1; ;4;3;3.067;3.881;6;3.661;essen; ;0;0;0;0;0;0.75;
04:29;04:29;2;0.749873;0;0;0;1; ;4;3;3.479;4.882;6;4.648;essen; ;0;1.5;0;0;0;0.75;
04:58;redeem essen;2;0;0;0;0;1; ;4;3;4.202;6;6;5.81;essen;redeem essen;0;3;0;0;0;0.75;
04:59;04:59;2;0.0354174;0;0;0;1; ;4;3;3.067;3.786;6;3.596;essen; ;0;0;0;0;0;0.75;
05:29;05:29;2;0.785432;0;0;0;1; ;4;3;3.508;3.786;6;3.596;essen; ;0;1;0;0;0;0.75;
05:59;05:59;2;1.53541;0;0;0;1; ;4;3;3.786;3.786;6;3.596;essen; ;0;2;0;0;0;0.75;
06:21;redeem essen;2;0;0;0;0;1; ;4;3;3.786;3.786;6;3.596;essen;redeem essen;0;3;0;0;0;0.75;
06:29;06:29;2;0;0;0;0;1; ;4;3;3;3;6;2.81;spielen; ;0;0;0;0;0;0.75;
06:39;redeem spielen;2;0;0;0;0;0.9; ;4;3;3;3;6;2.81;spielen;redeem spielen;0;0;0;0;0;1;
06:59;06:59;2;0;0;0;0;0.9; ;3.812;2.81;2.81;2.81;5.81;2.639;spielen; ;0;0;0;0;0;0;
07:29;07:29;2;0;0;0;0;0.9; ;4.041;2.81;2.81;2.81;5.81;2.639;spielen; ;0;0;0;0;0;0.5;
07:39;redeem spielen;2;0;0;0;0;0.8; ;4.19;2.81;2.81;2.81;5.81;2.639;spielen;redeem spielen;0;0;0;0;0;1;
07:59;07:59;2;0;0;0;0;0.8; ;4.475;2.639;2.639;2.639;5.64;2.489;spielen; ;0;0;0;0;0;0;
08:29;08:29;2;0;0;0;0;0.8; ;5.453;2.639;2.639;2.639;5.64;2.489;spielen; ;0;0;0;0;0;0.5;
08:39;redeem spielen;2;0;0;0;0;0.7; ;5.838;2.639;2.639;2.639;5.64;2.489;spielen;redeem spielen;0;0;0;0;0;1;
08:59;08:59;2;0;0;0;0;0.7; ;6.49;2.489;2.489;2.496;5.49;2.36;spielen; ;0;0;0;0;0;0;
09:24;interrupt spielen;2;0;0;0;0;0.7; ;6.49;2.489;2.489;2.683;5.49;2.49;spielen;interrupt spielen;0;0;0;0;0;0.333333;
09:29;09:29;2;0;0;0;0;0.7; ;6.49;2.489;2.489;2.781;5.49;2.612;essen; ;0;0;0;0;0;0.666667;
09:59;09:59;2;0;0;0;0;0.7; ;6.49;2.489;2.556;3.369;5.49;3.209;essen; ;0;1;0;0;0;0.666667;
