Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;0;3.441;0;0;0;0;essen; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;0;3.136;0;0;0;0;essen; ;0;1;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;0;3.136;0;0;0;0;essen; ;0;2;0;0;0;0;
01:29;redeem essen;2;0;0;0;0;1; ;0;0.695;0;0;0;0;essen;redeem essen;0;3;0;0;0;0;
01:30;01:30;2;0;0;0;0;1; ;2.96;0.695;0;0;0;0;arbeiten; ;0;0;0;0;0;0;
02:00;02:00;2;0;0;0.00135222;0;1; ;2.945;0.695;0;3.033;0;0;arbeiten; ;0.111111;0;0;0;0;0;
02:06;interrupt arbeiten;2;0;0;0.420248;0;1; ;3.034;0.695;0;3.033;0;0;arbeiten;interrupt arbeiten;0.222222;0;0;0;0;0;
02:30;02:30;2;0;0;2;0;1; ;4.95;0.695;0;2.999;0;0;reden; ;0.333333;0;0;0;0;0;
03:00;03:00;2;0;0;2;0;1; ;4.95;0.695;0;2.999;0;0;reden; ;0.333333;0;0;1;0;0;
03:08;redeem reden;2;0;0;0;0;1; ;4.95;0.695;0;2.999;0;0;reden;redeem reden;0.333333;0;0;2;0;0;
03:30;03:30;2;0;0;0;0;1; ;2.945;0.695;0;2.999;0;0;arbeiten; ;0.333333;0;0;0;0;0;
03:59;03:59;2;0;0;0;0;1; ;2.945;0.695;0;2.999;0;0;arbeiten; ;0.444444;0;0;0;0;0;
04:29;04:29;2;0.749873;0;0;0;1; ;3.133;3.419;0;2.999;0;0;arbeiten; ;0.555556;0;0;0;0;0;
04:47;interrupt arbeiten;2;1.19278;0;0;0;1; ;3.42;3.419;0;2.999;0;0;arbeiten;interrupt arbeiten;0.666667;0;0;0;0;0;
04:59;04:59;2;1.49986;0;0;0;1; ;3.716;3.285;0;2.999;0;0;essen; ;0.777778;0;0;0;0;0;
05:29;05:29;2;2.2498;0;0;0;1; ;4.288;3.136;0;2.999;0;0;essen; ;0.777778;1;0;0;0;0;
05:59;05:59;2;2.99975;0;0;0;1; ;4.288;3.136;0;2.999;0;0;essen; ;0.777778;2;0;0;0;0;
06:17;redeem essen;2;0;0;0;0;1; ;4.288;0.696;0;2.999;0;0;essen;redeem essen;0.777778;3;0;0;0;0;
06:29;06:29;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;0.777778;0;0;0;0;0;
06:59;06:59;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;0.888889;0;0;0;0;0;
07:29;07:29;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1;0;0;0;0;0;
07:59;07:59;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1.11111;0;0;0;0;0;
08:29;08:29;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1.22222;0;0;0;0;0;
08:59;08:59;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1.33333;0;0;0;0;0;
09:29;09:29;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1.44444;0;0;0;0;0;
09:59;09:59;2;0;0;0;0;1; ;2.945;0.696;0;2.999;0;0;arbeiten; ;1.55556;0;0;0;0;0;
10:29;10:29;2;0.747736;0;0;0;1; ;3.132;3.418;0;2.999;0;0;arbeiten; ;1.66667;0;0;0;0;0;
10:47;interrupt arbeiten;2;1.19147;0;0;0;1; ;3.419;3.418;0;2.999;0;0;arbeiten;interrupt arbeiten;1.77778;0;0;0;0;0;
10:59;10:59;2;1.49771;0;0;0;1; ;3.714;3.285;0;2.999;0;0;essen; ;1.88889;0;0;0;0;0;
